saved,educ_low,female,age,educ,emp_in,mobileowner
0,1,1,30,2,1,1
1,1,2,30,2,1,1
0,1,1,18,2,2,1
1,1,1,32,2,1,1
0,1,2,55,2,1,1
0,1,1,18,2,1,2
0,1,1,21,2,1,1
0,0,1,27,3,1,1
0,1,1,62,1,2,1
1,1,1,26,2,1,1
1,1,1,29,2,1,1
1,1,2,33,1,1,1
0,1,1,42,1,1,1
0,1,1,32,2,2,1
1,0,1,26,3,1,1
0,1,2,49,1,1,1
0,1,2,24,2,1,1
0,1,2,38,1,1,1
0,1,1,36,2,1,1
0,1,1,50,2,1,1
0,1,1,72,2,1,1
0,1,1,50,2,1,1
0,1,2,62,1,1,1
0,0,1,29,3,1,1
0,1,1,43,2,1,1
0,1,1,36,2,1,1
1,1,2,24,2,1,1
1,1,2,27,2,1,1
1,1,1,19,2,1,1
0,1,1,23,2,1,1
1,1,1,33,2,1,1
0,1,2,56,1,1,1
1,1,2,26,2,1,1
0,1,1,47,2,2,1
0,1,2,37,2,1,1
0,1,2,45,2,1,1
1,0,1,72,3,1,1
0,1,2,23,2,1,1
0,1,1,27,2,1,1
0,1,1,36,2,1,1
0,1,1,37,2,1,1
1,1,1,20,2,1,1
0,1,2,23,2,1,1
1,1,2,25,2,1,1
0,1,2,45,1,1,1
1,1,2,29,2,1,1
1,0,2,33,3,1,1
1,1,1,24,2,1,1
1,1,1,31,2,1,1
0,1,2,52,2,1,1
1,1,1,22,2,1,1
0,1,1,62,1,1,1
0,0,1,69,3,2,1
1,1,1,15,2,1,1
1,1,2,50,2,1,1
1,1,1,19,2,1,1
1,1,1,60,2,2,1
0,1,2,19,2,1,1
0,1,2,20,2,1,1
1,1,2,48,2,1,1
0,1,2,39,2,1,1
0,1,2,27,2,1,1
0,1,2,30,2,1,1
0,1,2,40,1,1,1
1,0,1,30,3,1,1
1,1,1,34,2,1,1
0,1,1,24,2,2,1
1,1,2,18,2,1,1
0,1,2,20,2,1,1
0,1,2,25,2,1,1
