"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Colombia","COL",197075850,0.347525073477485,1,18,2,5,1,,1,1,1,1,2,1,1,1,1,1,2,,,,2,,1,1,2,,,,,,,,,,1,2,2,1,1,1,,1,1,1,1,1,,2,1,2,2,1,1,1,,3,3,2,1,2,2,2,1,1,,,2,,,,,,1,2,1,1,,,1,2,2,,,,,2,,,,,,2,3,3,3,,3,,1,1,1,4,4,4,4,1,1,1,1,1
"Colombia","COL",124026681,0.525859819828148,2,38,3,5,1,,1,1,1,1,2,1,1,1,1,1,2,,,,1,2,1,1,1,,,,,,,,,,1,2,2,1,1,2,,1,2,1,3,2,,2,1,2,2,2,1,2,,1,3,2,2,,,,2,,,,1,1,1,2,,,1,1,1,2,,,2,1,2,1,2,,,2,,,,,,2,3,1,2,4,2,,1,1,1,1,4,4,1,5,1,1,1,1
"Colombia","COL",151681878,1.11441896922046,1,23,2,1,1,,1,1,1,2,1,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,2,1,,,2,,,,,,1,1,1,2,4,1,,0,0,4,1,4,4,4,5,1,1,1,0
"Colombia","COL",193401571,0.599383266708768,2,29,2,4,1,,1,1,1,1,2,2,,,1,1,2,,,,1,1,1,1,1,,,,,,,,,,1,2,2,1,2,,,1,1,2,,,,2,2,2,1,2,2,2,2,2,2,2,1,1,,,2,,,,1,1,1,2,,,1,2,1,1,,,2,2,2,,,,,2,,,,,,2,1,2,2,1,2,,1,0,1,4,4,4,1,1,1,1,1,0
"Colombia","COL",203386656,1.20432936741201,2,62,1,4,1,,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,2,2,,0,0,4,4,4,4,4,5,1,2,0,0
"Colombia","COL",174346952,0.725667763097071,1,42,2,1,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,3,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,6,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,1,1,,0,0,4,4,4,4,2,5,1,1,0,0
"Colombia","COL",128443764,0.520602757615482,2,32,3,5,1,,1,1,1,1,2,1,2,,2,1,2,,,,1,2,1,1,1,,,,,,,,,,1,1,2,1,1,1,,2,1,2,,,,2,2,1,2,2,2,2,,4,1,1,2,,,,1,2,1,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,3,1,2,,1,0,4,4,4,4,4,3,1,1,1,1
"Colombia","COL",207172159,1.36438752990532,1,65,2,1,1,,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,1,1,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,1,2,2,2,1,,2,,,,,,1,1,1,3,1,1,,0,0,4,2,4,4,2,5,1,2,0,0
"Colombia","COL",175738348,0.396571186282627,2,50,1,4,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,1,1,1,1,2,2,,,,,2,,,2,2,2,,,,1,2,,2,2,2,2,,3,2,2,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,2,2,2,1,2,,1,0,4,4,4,4,4,5,1,2,0,0
"Colombia","COL",190613690,1.01030783737161,2,23,2,5,2,,1,1,1,2,2,1,2,,1,1,2,,,,1,2,1,1,2,,,,,,,,,,1,2,2,1,2,,,2,1,1,2,1,,2,2,2,2,2,2,2,,2,1,2,1,1,,,2,,,,1,2,1,1,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,3,3,1,2,,0,0,4,4,4,4,1,1,1,1,1,0
"Colombia","COL",201909138,0.885768645865278,2,74,1,4,1,,1,1,0,2,2,2,,,2,2,2,,,,2,,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,1,2,,4,3,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,2,1,2,,,3,3,3,4,,3,,0,1,4,4,4,1,2,5,1,2,1,0
"Colombia","COL",136614191,1.45677338076555,1,19,2,5,1,,1,0,1,,,2,,,,,,,,,,,,,,,2,1,2,2,2,1,2,1,1,2,2,1,1,1,,1,1,1,3,1,,2,2,2,2,2,2,1,,4,1,1,2,,,,2,,,,1,2,1,1,,,2,,,,,,,1,2,2,1,,,2,,,,,,1,1,1,1,2,1,,0,1,4,1,4,4,1,5,1,1,1,1
"Colombia","COL",150756579,2.78813756298005,2,36,2,5,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,1,,,,,2,,,2,2,2,,,,1,2,,1,2,2,1,1,4,1,1,2,,,,2,,,,2,,,,,,1,2,2,2,1,,,2,2,,,,,2,,,,,,2,2,1,2,4,2,,1,1,2,4,4,4,4,5,2,2,0,0
"Colombia","COL",112838655,1.63355628637726,2,45,2,2,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,2,2,2,2,2,,,,,1,1,,2,2,1,2,1,,2,2,2,2,1,1,2,,4,3,3,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,1,1,,0,1,4,4,4,4,2,5,1,1,0,0
"Colombia","COL",165834566,0.877953928062132,1,35,2,3,1,,1,1,1,1,1,2,,,1,1,1,1,2,2,2,,1,1,2,,,,,,,,,,1,2,2,1,2,,,1,1,2,,,,2,2,2,2,1,2,1,,4,1,1,2,,,,1,1,,,1,2,1,1,,,2,,,,,,,1,1,1,1,,,2,,,,,,1,1,1,1,3,1,,0,1,4,1,1,4,1,1,1,1,1,0
"Colombia","COL",125420973,0.304952189838082,2,68,1,3,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,1,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,1,1,,0,1,4,4,4,4,4,5,1,2,0,0
"Colombia","COL",205249351,0.784031811473943,1,42,2,3,1,,1,1,1,1,1,1,2,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,2,2,,,2,2,2,,,,2,2,2,2,1,2,2,,4,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,1,1,,,2,,,,,,1,1,1,1,3,1,,0,1,4,1,4,4,4,5,1,1,1,0
"Colombia","COL",210963010,2.98370142409959,2,48,1,1,1,,1,1,0,,,2,,,,,,,,,,,,,,,2,1,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,1,1,,2,1,1,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,4,2,,1,1,4,4,4,4,1,5,1,2,1,0
"Colombia","COL",178815408,3.55594221690875,2,45,1,2,1,,1,1,0,1,2,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,1,1,,0,0,4,4,4,4,4,5,1,2,0,0
"Colombia","COL",124372813,0.514988901137555,1,21,2,4,1,,1,1,0,1,2,1,2,,1,3,2,,,,1,2,1,1,2,,,,,,,,,,,,,,2,,,1,1,2,,,,2,2,,2,2,2,2,,2,3,3,2,,,,2,,,,2,,,,,,1,1,1,2,,,2,1,2,1,2,,,2,,,,,,2,3,3,3,,3,,0,0,1,1,4,4,4,5,1,1,1,0
"Colombia","COL",112439951,2.10849830748573,1,55,1,2,1,,1,1,0,1,1,2,,,2,1,2,,,,2,,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,2,2,,,,1,2,2,2,1,2,2,,,1,2,,,,,,,1,1,1,2,,,2,,,,,,1,1,1,1,3,1,,0,1,4,1,1,4,2,4,2,1,1,0
"Colombia","COL",196688413,0.876481149028352,2,37,2,4,1,,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,1,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,5,2,2,1,2,2,2,2,,,,2,,,,,,1,1,2,2,1,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,2,4,4,4,4,4,1,1,0,0
