"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Bolivia","BOL",173842079,0.741401491491019,1,25,3,3,1,,1,1,0,2,2,1,2,,2,2,2,,,,2,,2,,1,,,,,,,,,,,,,,1,2,,1,1,1,3,2,,2,2,,2,2,2,2,,3,3,2,1,1,,,1,1,,,2,,,,,,1,2,2,2,1,,,2,1,2,2,1,,2,,,,,,2,2,2,2,2,3,,1,0,2,4,2,4,4,1,1,1,1,1
"Bolivia","BOL",123905030,0.7945785435815,1,22,2,5,1,,1,1,1,2,1,1,2,,1,1,2,,,,1,1,1,1,1,,,,,,,,,,2,2,2,1,2,,,2,2,1,3,2,,2,1,2,2,2,1,1,,2,2,1,2,,,,1,1,,,1,2,2,,,1,2,,,,,,,1,1,2,2,1,,2,,,,,,2,1,2,1,2,1,,1,1,4,2,2,4,2,1,1,1,1,1
"Bolivia","BOL",119961720,0.852796133785958,2,22,2,4,1,,1,1,0,,,2,,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,1,1,,3,2,2,2,,,,2,,,,1,1,2,1,,,1,2,2,2,1,,,1,2,1,2,,,2,,,,,,1,1,1,3,3,2,,1,1,2,1,4,4,1,5,1,2,1,0
"Bolivia","BOL",157218691,0.765223504851083,2,66,3,5,1,,1,1,0,1,2,2,,,1,1,1,1,1,1,1,2,2,,1,,,,,,,,,,,,,,1,2,,2,1,2,,,,2,2,,2,2,1,2,,3,3,3,2,,,,2,,,,1,1,1,1,,,1,2,1,2,,,2,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,1,1,4,4,4,1,5,1,1,1,1
"Bolivia","BOL",187811155,0.682051397519916,1,29,1,2,1,,1,1,0,2,1,2,,,2,2,2,,,,2,,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,1,2,1,,6,2,1,2,,,,2,,,,2,,,,,,2,,,,,,,1,2,2,2,2,2,2,,,,,,1,1,2,2,2,1,,0,1,4,3,4,4,4,5,1,2,0,0
"Bolivia","BOL",122957752,0.453070718250396,2,29,3,4,1,,1,1,1,1,1,1,1,1,1,1,1,2,,1,1,1,1,1,1,,,,,,,,,,1,2,2,1,1,2,,1,1,1,1,2,,2,1,2,2,2,1,2,,1,3,2,2,,,,1,1,,,1,1,1,2,,,2,,,,,,,1,2,1,1,,,2,,,,,,1,1,2,3,1,2,,1,1,4,1,4,4,1,1,1,1,1,1
"Bolivia","BOL",185827265,1.10201533918277,1,21,2,5,2,,0,0,0,,,2,,,,,,,,,,,,,,1,2,2,2,1,2,2,1,1,,,,,2,,,2,2,2,,,,2,2,,1,2,2,2,2,1,2,2,2,,,,1,2,1,2,2,,,,,,2,,,,,,,1,2,2,2,2,2,2,,,,,,2,2,3,2,4,2,,1,1,4,3,4,4,4,3,1,1,0,0
"Bolivia","BOL",185937641,1.00098923400843,1,50,2,3,2,,1,1,0,1,2,1,2,,2,2,2,,,,2,,1,2,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,1,1,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,3,1,1,,0,1,4,4,4,4,1,5,1,1,1,0
"Bolivia","BOL",203583846,0.715123869913259,2,38,2,2,1,,1,1,0,1,2,1,2,,1,1,2,,,,1,2,1,1,2,,,,,,,,,,,,,,2,,,1,2,2,,,,2,2,,1,2,2,1,1,3,2,1,2,,,,2,,,,1,1,1,1,,,1,2,1,2,,,2,2,2,,,,,2,,,,,,2,2,2,2,3,2,,1,1,1,4,4,4,1,5,1,1,1,0
"Bolivia","BOL",158535221,0.888765959233838,2,31,3,3,1,,1,1,0,2,2,2,,,1,2,2,,,,1,2,2,,2,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,2,1,2,,,,1,2,2,2,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,2,3,1,,0,1,4,4,4,4,4,4,1,1,1,0
"Bolivia","BOL",136448002,0.466658596257413,1,47,1,2,1,,0,0,0,,,2,,,,,,,,,,,,,,1,1,2,1,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,2,2,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,2,5,1,2,0,0
"Bolivia","BOL",201897979,0.601109762991575,2,26,2,3,1,,1,1,1,1,1,1,1,2,1,1,2,,,,2,,1,1,2,,,,,,,,,,,,,,2,,,2,1,2,,,,2,2,,2,2,2,2,,1,2,1,2,,,,2,,,,2,,,,,,1,2,1,1,,,2,2,1,1,2,,,2,,,,,,2,1,1,2,5,1,,0,0,1,4,1,4,4,5,1,1,1,0
"Bolivia","BOL",150360958,0.891235709741166,2,18,2,5,1,,1,1,1,,,2,,,,,,,,,,,,,,,1,2,2,1,2,2,1,1,2,2,2,1,2,,,1,1,1,2,3,,1,2,2,1,2,2,1,2,3,3,3,1,2,1,2,2,,,,2,,,,,,1,2,1,2,,,2,1,2,2,2,1,,1,1,2,2,1,,3,3,3,3,,2,,1,1,1,2,4,2,4,3,1,1,1,0
"Bolivia","BOL",166486228,0.972699186879182,2,37,2,2,1,,1,1,0,,,2,,,,,,,,,,,,,,,2,1,2,1,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,1,2,,3,1,1,2,,,,2,,,,1,1,2,1,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,1,4,4,4,4,1,5,1,1,1,0
